STATE/UT,CRIME HEAD,Year,Male Below 18 Years,Female Below 18 Years,Male Between 18-30 Years,Female Between 18-30 Years,Male Between 30-45 Years,Female Between 30-45 Years,Male Between 45-60 Years,Female Between 45-60 Years,Male Above 60 Years,Female Above 60 Years,Male Total,Female Total,Grand Total
Puducherry,Dacoity,2013,0,0,6,0,0,0,0,0,0,0,6,0,6
Total (UTs),Dacoity,2013,7,0,132,0,59,0,9,1,1,0,208,1,209
Total (All-India),Dacoity,2013,237,3,11290,85,7127,75,2487,21,120,7,21261,191,21452
Andhra Pradesh,Dowry Deaths,2013,1,0,350,70,288,125,184,125,24,17,847,337,1184
Arunachal Pradesh,Dowry Deaths,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Dowry Deaths,2013,0,0,74,2,118,0,10,0,1,0,203,2,205
Bihar,Dowry Deaths,2013,14,0,1148,168,827,187,329,164,42,14,2360,533,2893
Chhattisgarh,Dowry Deaths,2013,1,0,86,21,64,29,29,18,6,2,186,70,256
Goa,Dowry Deaths,2013,0,0,0,0,1,0,0,0,0,0,1,0,1
Gujarat,Dowry Deaths,2013,0,0,24,3,18,4,10,4,3,1,55,12,67
Haryana,Dowry Deaths,2013,0,1,190,6,140,24,58,28,6,2,394,61,455
Himachal Pradesh,Dowry Deaths,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Dowry Deaths,2013,0,0,5,2,4,1,0,2,0,0,9,5,14
Jharkhand,Dowry Deaths,2013,0,0,223,33,228,69,30,7,2,3,483,112,595
Karnataka,Dowry Deaths,2013,0,0,157,34,227,84,130,94,30,14,544,226,770
Kerala,Dowry Deaths,2013,0,0,5,2,11,2,2,3,1,3,19,10,29
Madhya Pradesh,Dowry Deaths,2013,7,12,714,174,465,228,280,198,66,18,1532,630,2162
Maharashtra,Dowry Deaths,2013,8,0,336,93,257,131,179,112,39,24,819,360,1179
Manipur,Dowry Deaths,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,Dowry Deaths,2013,0,0,0,0,1,0,0,0,0,0,1,0,1
Mizoram,Dowry Deaths,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,Dowry Deaths,2013,0,0,1,0,0,0,0,0,0,0,1,0,1
Odisha,Dowry Deaths,2013,0,0,223,55,237,74,139,40,14,3,613,172,785
Punjab,Dowry Deaths,2013,0,1,101,24,81,33,54,16,0,4,236,78,314
Rajasthan,Dowry Deaths,2013,4,0,242,14,168,25,59,41,15,13,488,93,581
Sikkim,Dowry Deaths,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Dowry Deaths,2013,0,0,104,6,83,13,28,26,2,0,217,45,262
Tripura,Dowry Deaths,2013,0,0,34,1,27,11,4,0,0,0,65,12,77
Uttar Pradesh,Dowry Deaths,2013,8,1,4733,634,2266,584,1460,396,309,14,8776,1629,10405
Uttarakhand,Dowry Deaths,2013,0,0,9,0,34,7,14,6,0,0,57,13,70
West Bengal,Dowry Deaths,2013,1,2,408,40,488,80,208,44,12,1,1117,167,1284
Total (State),Dowry Deaths,2013,44,17,9167,1382,6033,1711,3207,1324,572,133,19023,4567,23590
A&N Islands,Dowry Deaths,2013,0,0,1,0,1,0,0,0,0,0,2,0,2
Chandigarh,Dowry Deaths,2013,0,0,0,0,3,0,1,0,0,0,4,0,4
D&N Haveli,Dowry Deaths,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,Dowry Deaths,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,Dowry Deaths,2013,0,0,125,10,38,29,28,25,9,4,200,68,268
Lakshadweep,Dowry Deaths,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Dowry Deaths,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),Dowry Deaths,2013,0,0,126,10,42,29,29,25,9,4,206,68,274
Total (All-India),Dowry Deaths,2013,44,17,9293,1392,6075,1740,3236,1349,581,137,19229,4635,23864
Andhra Pradesh,Hurt/Grevious Hurt,2013,524,15,31465,2808,28429,2703,10477,958,1060,92,71955,6576,78531
Arunachal Pradesh,Hurt/Grevious Hurt,2013,38,0,312,11,205,0,71,0,8,0,634,11,645
Assam,Hurt/Grevious Hurt,2013,27,0,2886,100,4324,65,1253,2,16,0,8506,167,8673
Bihar,Hurt/Grevious Hurt,2013,356,21,28216,2049,18032,1959,7224,665,1055,36,54883,4730,59613
Chhattisgarh,Hurt/Grevious Hurt,2013,552,48,7963,484,5277,544,2642,231,285,30,16719,1337,18056
Goa,Hurt/Grevious Hurt,2013,2,0,157,13,151,19,71,15,24,6,405,53,458
Gujarat,Hurt/Grevious Hurt,2013,340,17,9415,683,7179,723,3063,224,292,22,20289,1669,21958
Haryana,Hurt/Grevious Hurt,2013,128,1,2637,123,2812,178,984,64,201,9,6762,375,7137
Himachal Pradesh,Hurt/Grevious Hurt,2013,20,1,586,48,481,71,168,39,44,7,1299,166,1465
Jammu & Kashmir,Hurt/Grevious Hurt,2013,0,0,226,22,244,47,100,21,9,1,579,91,670
Jharkhand,Hurt/Grevious Hurt,2013,21,0,4006,229,2990,166,1328,60,76,8,8421,463,8884
Karnataka,Hurt/Grevious Hurt,2013,60,1,10964,998,11644,1495,6392,833,1129,145,30189,3472,33661
Kerala,Hurt/Grevious Hurt,2013,178,1,10784,316,9519,498,4492,204,653,46,25626,1065,26691
Madhya Pradesh,Hurt/Grevious Hurt,2013,1186,83,30883,1875,23834,1778,10911,562,1627,70,68441,4368,72809
Maharashtra,Hurt/Grevious Hurt,2013,1420,65,26710,1806,17296,2073,8124,985,1281,201,54831,5130,59961
Manipur,Hurt/Grevious Hurt,2013,0,0,33,1,40,2,10,0,2,0,85,3,88
Meghalaya,Hurt/Grevious Hurt,2013,4,0,166,8,90,3,51,0,1,0,312,11,323
Mizoram,Hurt/Grevious Hurt,2013,6,0,72,0,36,0,5,0,1,0,120,0,120
Nagaland,Hurt/Grevious Hurt,2013,6,0,31,0,25,0,10,0,2,0,74,0,74
Odisha,Hurt/Grevious Hurt,2013,89,8,5431,496,5980,589,3480,263,284,27,15264,1383,16647
Punjab,Hurt/Grevious Hurt,2013,37,6,2995,264,3232,268,1057,71,21,1,7342,610,7952
Rajasthan,Hurt/Grevious Hurt,2013,332,14,13265,1058,11112,1107,5354,471,471,51,30534,2701,33235
Sikkim,Hurt/Grevious Hurt,2013,10,0,58,2,39,1,12,0,0,0,119,3,122
Tamil Nadu,Hurt/Grevious Hurt,2013,174,0,11428,852,11616,1211,5586,448,680,36,29484,2547,32031
Tripura,Hurt/Grevious Hurt,2013,4,0,1269,86,806,75,219,10,13,0,2311,171,2482
Uttar Pradesh,Hurt/Grevious Hurt,2013,22,1,17603,402,9100,494,5295,220,378,0,32398,1117,33515
Uttarakhand,Hurt/Grevious Hurt,2013,24,0,445,46,428,36,70,6,0,0,967,88,1055
West Bengal,Hurt/Grevious Hurt,2013,63,5,6553,1324,7251,998,3697,301,254,30,17818,2658,20476
Total (State),Hurt/Grevious Hurt,2013,5623,287,226559,16104,182172,17103,82146,6653,9867,818,506367,40965,547332
A&N Islands,Hurt/Grevious Hurt,2013,0,0,21,0,20,0,17,4,1,0,59,4,63
Chandigarh,Hurt/Grevious Hurt,2013,10,0,62,2,46,1,14,1,0,0,132,4,136
D&N Haveli,Hurt/Grevious Hurt,2013,0,0,26,0,6,0,4,1,0,0,36,1,37
Daman & Diu,Hurt/Grevious Hurt,2013,1,0,12,0,3,0,0,0,0,0,16,0,16
Delhi UT,Hurt/Grevious Hurt,2013,106,0,1610,64,708,74,194,18,7,2,2625,158,2783
Lakshadweep,Hurt/Grevious Hurt,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Hurt/Grevious Hurt,2013,16,0,780,15,649,24,133,8,13,3,1591,50,1641
Total (UTs),Hurt/Grevious Hurt,2013,133,0,2511,81,1432,99,362,32,21,5,4459,217,4676
Total (All-India),Hurt/Grevious Hurt,2013,5756,287,229070,16185,183604,17202,82508,6685,9888,823,510826,41182,552008
Andhra Pradesh,Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Importation of girls from Foreign Countries,2013,0,0,0,0,7,0,0,0,0,0,7,0,7
Bihar,Importation of girls from Foreign Countries,2013,0,0,5,0,2,0,0,0,0,0,7,0,7
Chhattisgarh,Importation of girls from Foreign Countries,2013,0,0,3,0,0,0,0,0,0,0,3,0,3
Goa,Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,1,0,0,0,1,0,1
Himachal Pradesh,Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerala,Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,Importation of girls from Foreign Countries,2013,0,0,10,3,2,1,0,0,0,1,12,5,17
Maharashtra,Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,Importation of girls from Foreign Countries,2013,0,0,0,0,4,0,0,0,0,0,4,0,4
Sikkim,Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,Importation of girls from Foreign Countries,2013,0,0,13,3,3,0,0,0,0,0,16,3,19
Total (State),Importation of girls from Foreign Countries,2013,0,0,31,6,18,1,1,0,0,1,50,8,58
A&N Islands,Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),Importation of girls from Foreign Countries,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (All-India),Importation of girls from Foreign Countries,2013,0,0,31,6,18,1,1,0,0,1,50,8,58
Andhra Pradesh,Insult to Modesty of Women,2013,173,2,3084,51,1598,44,320,24,31,0,5206,121,5327
Arunachal Pradesh,Insult to Modesty of Women,2013,0,0,2,0,1,0,0,0,0,0,3,0,3
Assam,Insult to Modesty of Women,2013,0,0,3,0,11,0,0,0,0,0,14,0,14
Bihar,Insult to Modesty of Women,2013,1,0,46,0,7,0,0,0,0,0,54,0,54
Chhattisgarh,Insult to Modesty of Women,2013,8,0,173,13,59,2,46,1,2,0,288,16,304
Goa,Insult to Modesty of Women,2013,0,0,19,0,18,0,5,0,1,0,43,0,43
Gujarat,Insult to Modesty of Women,2013,2,0,83,0,26,0,4,0,0,0,115,0,115
Haryana,Insult to Modesty of Women,2013,13,0,479,1,221,0,56,0,6,0,775,1,776
Himachal Pradesh,Insult to Modesty of Women,2013,1,0,62,3,33,3,13,4,1,1,110,11,121
Jammu & Kashmir,Insult to Modesty of Women,2013,3,0,277,2,112,7,31,0,0,0,423,9,432
Jharkhand,Insult to Modesty of Women,2013,0,0,20,0,7,0,0,0,0,0,27,0,27
Karnataka,Insult to Modesty of Women,2013,1,0,118,2,44,1,4,0,0,0,167,3,170
Kerala,Insult to Modesty of Women,2013,5,0,220,2,149,0,46,0,7,1,427,3,430
Madhya Pradesh,Insult to Modesty of Women,2013,63,0,578,2,253,5,51,1,13,0,958,8,966
Maharashtra,Insult to Modesty of Women,2013,79,3,1556,46,1079,58,303,20,38,6,3055,133,3188
Manipur,Insult to Modesty of Women,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,Insult to Modesty of Women,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,Insult to Modesty of Women,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,Insult to Modesty of Women,2013,0,0,1,0,0,0,0,0,0,0,1,0,1
Odisha,Insult to Modesty of Women,2013,2,0,353,0,149,3,6,0,3,0,513,3,516
Punjab,Insult to Modesty of Women,2013,0,0,43,6,20,3,14,0,0,0,77,9,86
Rajasthan,Insult to Modesty of Women,2013,1,0,17,0,5,2,3,0,0,0,26,2,28
Sikkim,Insult to Modesty of Women,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Insult to Modesty of Women,2013,5,0,222,0,89,0,16,0,0,0,332,0,332
Tripura,Insult to Modesty of Women,2013,0,0,14,0,2,0,0,0,0,0,16,0,16
Uttar Pradesh,Insult to Modesty of Women,2013,0,0,19,0,17,0,3,0,0,0,39,0,39
Uttarakhand,Insult to Modesty of Women,2013,0,0,55,9,18,2,4,2,0,0,77,13,90
West Bengal,Insult to Modesty of Women,2013,2,0,292,0,187,0,82,0,8,0,571,0,571
Total (State),Insult to Modesty of Women,2013,359,5,7736,137,4105,130,1007,52,110,8,13317,332,13649
A&N Islands,Insult to Modesty of Women,2013,0,0,5,0,6,0,0,0,0,0,11,0,11
Chandigarh,Insult to Modesty of Women,2013,0,0,14,0,8,0,4,0,0,0,26,0,26
D&N Haveli,Insult to Modesty of Women,2013,0,0,1,0,0,0,0,0,0,0,1,0,1
Daman & Diu,Insult to Modesty of Women,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,Insult to Modesty of Women,2013,23,0,751,12,211,4,36,4,5,0,1026,20,1046
Lakshadweep,Insult to Modesty of Women,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Insult to Modesty of Women,2013,0,0,5,0,1,0,0,0,0,0,6,0,6
Total (UTs),Insult to Modesty of Women,2013,23,0,776,12,226,4,40,4,5,0,1070,20,1090
Total (All-India),Insult to Modesty of Women,2013,382,5,8512,149,4331,134,1047,56,115,8,14387,352,14739
Andhra Pradesh,K & A of others,2013,11,1,337,54,300,10,64,0,14,0,726,65,791
Arunachal Pradesh,K & A of others,2013,0,0,10,0,12,0,7,0,0,0,29,0,29
Assam,K & A of others,2013,9,1,297,4,334,4,61,1,5,0,706,10,716
Bihar,K & A of others,2013,29,3,1113,20,806,31,316,7,36,0,2300,61,2361
Chhattisgarh,K & A of others,2013,10,1,81,2,33,3,9,3,2,0,135,9,144
Goa,K & A of others,2013,0,0,15,1,11,1,0,0,0,0,26,2,28
Gujarat,K & A of others,2013,9,6,262,7,171,4,49,1,2,0,493,18,511
Haryana,K & A of others,2013,1,0,244,18,190,15,30,1,0,0,465,34,499
Himachal Pradesh,K & A of others,2013,0,0,4,0,1,1,1,0,0,0,6,1,7
Jammu & Kashmir,K & A of others,2013,0,0,36,0,32,0,7,0,0,0,75,0,75
Jharkhand,K & A of others,2013,5,3,238,3,134,5,20,1,0,0,397,12,409
Karnataka,K & A of others,2013,1,0,208,12,185,7,95,2,13,0,502,21,523
Kerala,K & A of others,2013,0,0,79,0,74,2,11,0,0,0,164,2,166
Madhya Pradesh,K & A of others,2013,5,5,229,5,154,3,46,1,2,0,436,14,450
Maharashtra,K & A of others,2013,20,1,439,17,278,13,53,7,6,1,796,39,835
Manipur,K & A of others,2013,0,0,15,0,15,0,2,0,0,0,32,0,32
Meghalaya,K & A of others,2013,1,0,47,1,51,1,10,1,0,0,109,3,112
Mizoram,K & A of others,2013,0,0,4,0,3,0,0,0,0,0,7,0,7
Nagaland,K & A of others,2013,0,0,16,0,11,1,1,0,0,0,28,1,29
Odisha,K & A of others,2013,4,0,115,3,109,8,34,0,0,0,262,11,273
Punjab,K & A of others,2013,0,0,101,11,111,7,41,3,2,0,255,21,276
Rajasthan,K & A of others,2013,9,0,330,0,257,2,68,0,1,1,665,3,668
Sikkim,K & A of others,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,K & A of others,2013,6,0,201,4,205,7,45,1,2,1,459,13,472
Tripura,K & A of others,2013,2,0,16,0,13,0,3,0,1,0,35,0,35
Uttar Pradesh,K & A of others,2013,6,0,1663,22,725,15,143,0,8,0,2545,37,2582
Uttarakhand,K & A of others,2013,0,0,17,1,13,0,2,0,0,0,32,1,33
West Bengal,K & A of others,2013,7,2,140,17,352,18,191,12,6,0,696,49,745
Total (State),K & A of others,2013,135,23,6257,202,4580,158,1309,41,100,3,12381,427,12808
A&N Islands,K & A of others,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,K & A of others,2013,0,0,11,0,10,0,6,0,0,0,27,0,27
D&N Haveli,K & A of others,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,K & A of others,2013,0,0,3,0,1,0,0,0,0,0,4,0,4
Delhi UT,K & A of others,2013,5,2,157,2,36,0,1,0,0,0,199,4,203
Lakshadweep,K & A of others,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,K & A of others,2013,0,0,3,0,2,0,0,0,0,0,5,0,5
Total (UTs),K & A of others,2013,5,2,174,2,49,0,7,0,0,0,235,4,239
Total (All-India),K & A of others,2013,140,25,6431,204,4629,158,1316,41,100,3,12616,431,13047
Andhra Pradesh,K & A of Women and Girls,2013,42,0,993,50,515,59,124,16,12,0,1686,125,1811
Arunachal Pradesh,K & A of Women and Girls,2013,0,0,49,0,58,0,3,0,0,0,110,0,110
Assam,K & A of Women and Girls,2013,69,0,1242,14,1829,35,332,0,10,0,3482,49,3531
Bihar,K & A of Women and Girls,2013,123,2,2666,173,1351,104,432,37,37,0,4609,316,4925
Chhattisgarh,K & A of Women and Girls,2013,36,3,359,12,63,6,18,1,0,0,476,22,498
Goa,K & A of Women and Girls,2013,3,1,15,7,3,0,0,0,0,0,21,8,29
Gujarat,K & A of Women and Girls,2013,65,8,1538,55,653,67,191,32,35,2,2482,164,2646
Haryana,K & A of Women and Girls,2013,41,0,678,14,271,15,42,3,3,0,1035,32,1067
Himachal Pradesh,K & A of Women and Girls,2013,3,0,89,3,28,6,1,1,0,0,121,10,131
Jammu & Kashmir,K & A of Women and Girls,2013,0,0,330,16,234,15,91,0,0,0,655,31,686
Jharkhand,K & A of Women and Girls,2013,14,31,506,20,375,16,136,11,2,0,1033,78,1111
Karnataka,K & A of Women and Girls,2013,5,0,429,10,303,37,95,14,8,1,840,62,902
Kerala,K & A of Women and Girls,2013,7,0,163,4,48,6,12,3,0,0,230,13,243
Madhya Pradesh,K & A of Women and Girls,2013,97,4,1120,14,430,19,171,3,2,0,1820,40,1860
Maharashtra,K & A of Women and Girls,2013,91,8,1345,86,485,144,140,52,17,5,2078,295,2373
Manipur,K & A of Women and Girls,2013,0,0,55,5,29,2,11,6,6,1,101,14,115
Meghalaya,K & A of Women and Girls,2013,6,0,21,1,3,1,0,0,0,0,30,2,32
Mizoram,K & A of Women and Girls,2013,0,0,5,1,0,0,0,0,0,0,5,1,6
Nagaland,K & A of Women and Girls,2013,0,0,14,0,5,2,1,0,0,0,20,2,22
Odisha,K & A of Women and Girls,2013,10,1,1017,24,452,42,107,3,5,0,1591,70,1661
Punjab,K & A of Women and Girls,2013,17,1,447,55,261,44,82,12,1,0,808,112,920
Rajasthan,K & A of Women and Girls,2013,87,1,1009,60,387,45,139,3,5,0,1627,109,1736
Sikkim,K & A of Women and Girls,2013,0,0,14,0,11,0,0,0,0,0,25,0,25
Tamil Nadu,K & A of Women and Girls,2013,13,0,741,26,435,71,181,15,7,1,1377,113,1490
Tripura,K & A of Women and Girls,2013,1,0,134,0,56,0,1,0,0,0,192,0,192
Uttar Pradesh,K & A of Women and Girls,2013,109,5,15588,219,5522,197,1661,45,52,7,22932,473,23405
Uttarakhand,K & A of Women and Girls,2013,23,0,149,8,73,10,17,3,0,0,262,21,283
West Bengal,K & A of Women and Girls,2013,66,5,1195,100,1914,189,615,92,42,4,3832,390,4222
Total (State),K & A of Women and Girls,2013,928,70,31911,977,15794,1132,4603,352,244,21,53480,2552,56032
A&N Islands,K & A of Women and Girls,2013,0,0,5,0,4,0,0,0,0,0,9,0,9
Chandigarh,K & A of Women and Girls,2013,8,0,38,1,31,1,15,1,0,0,92,3,95
D&N Haveli,K & A of Women and Girls,2013,0,0,4,0,0,0,0,0,0,0,4,0,4
Daman & Diu,K & A of Women and Girls,2013,1,0,3,0,0,0,0,0,0,0,4,0,4
Delhi UT,K & A of Women and Girls,2013,58,0,445,14,71,18,3,4,1,0,578,36,614
Lakshadweep,K & A of Women and Girls,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,K & A of Women and Girls,2013,0,0,6,0,0,0,0,0,0,0,6,0,6
Total (UTs),K & A of Women and Girls,2013,67,0,501,15,106,19,18,5,1,0,693,39,732
Total (All-India),K & A of Women and Girls,2013,995,70,32412,992,15900,1151,4621,357,245,21,54173,2591,56764
Andhra Pradesh,Kidnapping & Abduction,2013,53,1,1330,104,815,69,188,16,26,0,2412,190,2602
Arunachal Pradesh,Kidnapping & Abduction,2013,0,0,59,0,70,0,10,0,0,0,139,0,139
Assam,Kidnapping & Abduction,2013,78,1,1539,18,2163,39,393,1,15,0,4188,59,4247
Bihar,Kidnapping & Abduction,2013,152,5,3779,193,2157,135,748,44,73,0,6909,377,7286
Chhattisgarh,Kidnapping & Abduction,2013,46,4,440,14,96,9,27,4,2,0,611,31,642
Goa,Kidnapping & Abduction,2013,3,1,30,8,14,1,0,0,0,0,47,10,57
Gujarat,Kidnapping & Abduction,2013,74,14,1800,62,824,71,240,33,37,2,2975,182,3157
Haryana,Kidnapping & Abduction,2013,42,0,922,32,461,30,72,4,3,0,1500,66,1566
Himachal Pradesh,Kidnapping & Abduction,2013,3,0,93,3,29,7,2,1,0,0,127,11,138
Jammu & Kashmir,Kidnapping & Abduction,2013,0,0,366,16,266,15,98,0,0,0,730,31,761
Jharkhand,Kidnapping & Abduction,2013,19,34,744,23,509,21,156,12,2,0,1430,90,1520
Karnataka,Kidnapping & Abduction,2013,6,0,637,22,488,44,190,16,21,1,1342,83,1425
Kerala,Kidnapping & Abduction,2013,7,0,242,4,122,8,23,3,0,0,394,15,409
Madhya Pradesh,Kidnapping & Abduction,2013,102,9,1349,19,584,22,217,4,4,0,2256,54,2310
Maharashtra,Kidnapping & Abduction,2013,111,9,1784,103,763,157,193,59,23,6,2874,334,3208
Manipur,Kidnapping & Abduction,2013,0,0,70,5,44,2,13,6,6,1,133,14,147
Meghalaya,Kidnapping & Abduction,2013,7,0,68,2,54,2,10,1,0,0,139,5,144
Mizoram,Kidnapping & Abduction,2013,0,0,9,1,3,0,0,0,0,0,12,1,13
Nagaland,Kidnapping & Abduction,2013,0,0,30,0,16,3,2,0,0,0,48,3,51
Odisha,Kidnapping & Abduction,2013,14,1,1132,27,561,50,141,3,5,0,1853,81,1934
Punjab,Kidnapping & Abduction,2013,17,1,548,66,372,51,123,15,3,0,1063,133,1196
Rajasthan,Kidnapping & Abduction,2013,96,1,1339,60,644,47,207,3,6,1,2292,112,2404
Sikkim,Kidnapping & Abduction,2013,0,0,14,0,11,0,0,0,0,0,25,0,25
Tamil Nadu,Kidnapping & Abduction,2013,19,0,942,30,640,78,226,16,9,2,1836,126,1962
Tripura,Kidnapping & Abduction,2013,3,0,150,0,69,0,4,0,1,0,227,0,227
Uttar Pradesh,Kidnapping & Abduction,2013,115,5,17251,241,6247,212,1804,45,60,7,25477,510,25987
Uttarakhand,Kidnapping & Abduction,2013,23,0,166,9,86,10,19,3,0,0,294,22,316
West Bengal,Kidnapping & Abduction,2013,73,7,1335,117,2266,207,806,104,48,4,4528,439,4967
Total (State),Kidnapping & Abduction,2013,1063,93,38168,1179,20374,1290,5912,393,344,24,65861,2979,68840
A&N Islands,Kidnapping & Abduction,2013,0,0,5,0,4,0,0,0,0,0,9,0,9
Chandigarh,Kidnapping & Abduction,2013,8,0,49,1,41,1,21,1,0,0,119,3,122
D&N Haveli,Kidnapping & Abduction,2013,0,0,4,0,0,0,0,0,0,0,4,0,4
Daman & Diu,Kidnapping & Abduction,2013,1,0,6,0,1,0,0,0,0,0,8,0,8
Delhi UT,Kidnapping & Abduction,2013,63,2,602,16,107,18,4,4,1,0,777,40,817
Lakshadweep,Kidnapping & Abduction,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Kidnapping & Abduction,2013,0,0,9,0,2,0,0,0,0,0,11,0,11
Total (UTs),Kidnapping & Abduction,2013,72,2,675,17,155,19,25,5,1,0,928,43,971
Total (All-India),Kidnapping & Abduction,2013,1135,95,38843,1196,20529,1309,5937,398,345,24,66789,3022,69811
Andhra Pradesh,Murder,2013,72,4,1950,170,1896,209,561,86,74,11,4553,480,5033
Arunachal Pradesh,Murder,2013,0,0,22,0,62,0,2,0,0,0,86,0,86
Assam,Murder,2013,23,0,536,14,830,13,168,3,3,0,1560,30,1590
Bihar,Murder,2013,66,7,2923,103,2154,108,923,47,104,4,6170,269,6439
Chhattisgarh,Murder,2013,54,4,539,28,538,34,220,17,18,1,1369,84,1453
Goa,Murder,2013,1,0,35,0,24,2,8,1,3,0,71,3,74
Gujarat,Murder,2013,53,3,893,45,767,69,296,32,32,7,2041,156,2197
Haryana,Murder,2013,46,2,744,39,772,40,266,17,37,3,1865,101,1966
Himachal Pradesh,Murder,2013,3,0,66,4,48,9,14,1,3,0,134,14,148
Jammu & Kashmir,Murder,2013,6,0,76,8,108,10,39,4,1,0,230,22,252
Jharkhand,Murder,2013,23,0,966,33,605,41,165,0,0,0,1759,74,1833
Karnataka,Murder,2013,29,3,1037,91,1237,134,458,67,69,16,2830,311,3141
Kerala,Murder,2013,7,0,298,9,253,17,90,14,13,2,661,42,703
Madhya Pradesh,Murder,2013,153,4,1925,133,1523,135,685,52,89,5,4375,329,4704
Maharashtra,Murder,2013,189,12,2507,164,1540,198,593,112,96,22,4925,508,5433
Manipur,Murder,2013,3,0,38,3,26,0,10,1,1,0,78,4,82
Meghalaya,Murder,2013,9,0,76,9,50,3,18,1,0,0,153,13,166
Mizoram,Murder,2013,1,0,13,0,12,0,3,0,3,0,32,0,32
Nagaland,Murder,2013,0,0,29,0,18,1,3,0,0,0,50,1,51
